Country,Population,Fertility,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Cheapness,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,MaxCorporateTax,MaxPrivateTax,Happiness,Divorces,Homicide,SexualPartners,Religiosity
Afghanistan,42239854,4.4,82.12,474,13.69,1.68,63.6,22.6,1,1.55,57.9,24.0,28,9,15,56,64,100,12,80,61.98,58.9,65.3,35.8,7.3,,,,,,20,20,18.6,,6.66,,92
Albania,2832439,1.4,81.75,3513,14.19,1.74,81.4,27.0,2,1.62,69.2,26.4,58,43,60,86,55,76,19,63,76.46,74.1,79.2,10.2,11.3,,,,,,15,23,52.8,2.1,2.29,,15
Algeria,45606480,2.8,76,3684,14.49,1.74,74.6,24.7,1,1.62,69.4,26.5,38,24,59,80,76,97,31,64,76.38,74.9,78.0,21.5,4.5,,,,,,26,35,53.3,1.6,1.36,,73
American Samoa,43914,2.2,,,,1.77,103.2,33.1,,1.67,98.1,35.2,,,,,,,,,,,,,,,,,,,34,6,,,5.38,,
Andorra,80088,1.1,95.2,,,1.78,87.3,27.5,,1.65,71.7,26.3,,,,,,,,,,,,,,,,,,,10,10,,,,,
Angola,36684202,5.1,75.1,,15.73,,,,0.5,,,,,,,,,,,67,61.64,59.0,64.3,38.8,8.0,,,,,,30,17,,,4.85,,
Antigua and Barbuda,94298,1.6,70.48,,,1.78,81.6,25.7,,1.65,75.9,27.8,,,,,,,,,78.50,,,,,,,,,,25,0,,,11.06,,
Argentina,45773884,1.9,86.63,8795,14.88,1.74,84.7,27.9,1.5,1.61,71.4,27.6,44,42,77,81,73,42,38,63,75.39,72.2,78.6,13.9,9.0,56.2,52.6,52.3,42.4,42.0,30,35,60.2,,5.32,,43
Armenia,2777970,1.6,88.82,,13.14,,,,1.5,,,,42,50,65,76,50,85,19,53,72.04,66.6,77.4,12.0,13.0,,,,,,18,22,53.4,1.1,1.69,,53
Aruba,106277,1.2,,,,,,,,,,,,,,,,,,,74.63,,,,,,,,,,25,58.95,,,1.93,,
