Country,IQ,Income,PenisLength,MaleHeight,MaleWeight,MaleBMI,BraSize,FemaleHeight,FemaleWeight,FemaleBMI,Stability,HumanRights,HealthServices,Safety,Climate,Costs,Popularity,Corruption,AvgLifeExpectancy,MaleLifeExpectancy,FemaleLifeExpectancy,BirthRate,DeathRate,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,FertilityRate,MaxCorporateTax,MaxPrivateTax,Happiness
Afghanistan,81,474,13.69,1.68,63.6,22.6,1,1.55,57.9,24.0,28,9,15,56,64,100,12,76,61.98,58.9,65.3,35.8,7.3,,,,,,4.5,20,20,1.86
Albania,82,3513,14.19,1.74,81.4,27.0,2,1.62,69.2,26.4,58,43,60,86,55,76,19,64,76.46,74.1,79.2,10.2,11.3,,,,,,1.6,15,23,5.28
Algeria,77,3684,14.49,1.74,74.6,24.7,1,1.62,69.4,26.5,38,24,59,80,76,97,31,67,76.38,74.9,78.0,21.5,4.5,,,,,,3,26,35,5.33
American Samoa,,,,1.77,103.2,33.1,,1.67,98.1,35.2,,,,,,,,,,,,,,,,,,,,34,6,
Andorra,,,,1.78,87.3,27.5,,1.65,71.7,26.3,,,,,,,,,,,,,,,,,,,1.3,10,10,
Angola,72,,15.73,,,,0.5,,,,,,,,,,,67,61.64,59.0,64.3,38.8,8.0,,,,,,5.5,30,17,
Antigua and Barbuda,,,,1.78,81.6,25.7,,1.65,75.9,27.8,,,,,,,,,78.50,,,,,,,,,,2,25,0,
Argentina,87,8795,14.88,1.74,84.7,27.9,1.5,1.61,71.4,27.6,44,42,77,81,73,42,38,62,75.39,72.2,78.6,13.9,9.0,56.2,52.6,52.3,42.4,42.0,2.3,30,35,6.02
Armenia,90,,13.14,,,,1.5,,,,42,50,65,76,50,85,19,54,72.04,66.6,77.4,12.0,13.0,,,,,,1.8,18,22,5.34
Aruba,,,,,,,,,,,,,,,,,,,74.63,,,,,,,,,,,25,58.95,
Australia,99,42948,14.46,1.79,88.3,27.7,2,1.65,72.6,26.8,86,95,87,94,90,3,55,25,83.30,81.3,85.4,12.1,6.7,40.2,58.1,50.5,54.1,49.7,1.7,30,45,7.09
Austria,99,42635,14.53,1.78,84.6,26.6,1.5,1.66,68.3,24.7,82,90,96,99,27,32,60,29,81.24,78.8,83.8,9.6,10.3,,,,,,1.5,25,55,7.10
Azerbaijan,85,,13.72,,,,1,,,,43,24,64,52,56,94,27,77,69.37,65.6,73.3,11.1,7.6,,,,,,1.7,20,25,5.17
Bahamas,84,,,,,,0,,,,,,,,,,,,71.60,,,,,,,,,,1.8,0,8.8,
Bahrain,83,18839,,,,,,,,,57,47,63,82,63,75,31,,78.76,77.8,80.0,11.9,2.5,,,,,,2,0,0,6.17
Bangladesh,75,936,11.20,1.65,57.7,21.3,0,1.52,50.5,21.8,45,25,42,81,50,89,30,75,72.38,70.6,74.3,17.8,5.7,,,,,,2,32.5,25,4.28
Barbados,,,,,,,,,,,,,,,,,,,77.57,,,,,,,,,,1.6,5.5,38,
Belarus,99,,14.63,1.78,84.1,26.5,0.5,1.66,74.4,26.9,42,24,79,75,22,40,40,61,72.37,67.3,77.7,9.3,16.5,,,,,,1.4,20,48,5.82
Belgium,98,40526,14.77,1.79,85.9,26.8,0.5,1.64,68.8,25.7,71,88,90,94,20,27,55,27,81.89,79.5,84.4,10.2,9.7,48.9,48.4,48.2,49.9,55.4,1.6,25,79.5,6.86
Belize,67,,,,,,1,,,,,,,,,,,,70.47,,,,,,,,,,2.3,19,25,
Benin,68,,,,,,0,,,,,,,,,,,,59.82,,,,,,,,,,4.8,35,35,4.37
Bermuda,92,108349,,1.79,88.4,27.6,,1.66,80.4,29.3,94,78,86,81,69,1,41,,79.28,75.8,82.7,7.7,11.3,,,,,,,0,0,
Bhutan,,,,,,,,,,,,,,,,,,,71.81,,,,,,,,,,2,26,25,
